,Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,TimeLine
12033,1900-01-01 23:25:00,Saturday,18-30,Above 10yr,Lorry (41?100Q),Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,23,Night
12034,1900-01-01 15:10:00,Wednesday,Over 51,2-5yr,Lorry (41?100Q),School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
12035,1900-01-01 15:10:00,Wednesday,31-50,1-2yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
12036,1900-01-01 17:00:00,Wednesday,Unknown,1-2yr,Public (12 seats),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,2,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
12037,1900-01-01 17:00:00,Wednesday,31-50,2-5yr,Public (12 seats),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Crossing from driver's nearside,Moving Backward,Serious Injury,17,Evening
12038,1900-01-01 16:10:00,Tuesday,18-30,5-10yr,Stationwagen,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Turnover,Serious Injury,16,Evening
12039,1900-01-01 13:29:00,Saturday,31-50,2-5yr,Lorry (41?100Q),School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,13,Afternoon
12040,1900-01-01 13:29:00,Saturday,18-30,1-2yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,13,Afternoon
12041,1900-01-01 12:40:00,Friday,Over 51,5-10yr,Pick up upto 10Q,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,12,Afternoon
12042,1900-01-01 12:40:00,Friday,18-30,Below 1yr,Automobile,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,12,Afternoon
12043,1900-01-01 15:30:00,Friday,Over 51,2-5yr,Public (13?45 seats),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
12044,1900-01-01 15:30:00,Friday,31-50,5-10yr,Public (> 45 seats),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,15,Afternoon
12045,1900-01-01 15:30:00,Friday,31-50,Above 10yr,Stationwagen,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,15,Afternoon
12046,1900-01-01 15:30:00,Friday,31-50,2-5yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Other,Slight Injury,15,Afternoon
12047,1900-01-01 15:30:00,Friday,31-50,Above 10yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
12048,1900-01-01 03:32:00,Saturday,Under 18,1-2yr,Stationwagen,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,3,Night
12049,1900-01-01 04:00:00,Friday,18-30,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,Not a Pedestrian,Changing lane to the left,Fatal injury,4,Morning
12050,1900-01-01 04:00:00,Friday,18-30,2-5yr,Public (12 seats), Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,Serious Injury,4,Morning
12051,1900-01-01 04:00:00,Friday,18-30,2-5yr,Lorry (41?100Q),  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,4,Morning
12052,1900-01-01 04:00:00,Friday,18-30,2-5yr,Other, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,4,Morning
12053,1900-01-01 15:50:00,Saturday,18-30,2-5yr,Stationwagen,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Other,Slight Injury,15,Afternoon
12054,1900-01-01 08:50:00,Friday,Under 18,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,8,Morning
12055,1900-01-01 00:25:00,Sunday,18-30,Above 10yr,Public (> 45 seats),Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Moving Backward,Serious Injury,0,Night
12056,1900-01-01 00:25:00,Sunday,31-50,5-10yr,Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,0,Night
12057,1900-01-01 00:25:00,Sunday,31-50,5-10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,0,Night
12058,1900-01-01 00:10:00,Sunday,18-30,2-5yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,0,Night
12059,1900-01-01 00:10:00,Sunday,18-30,5-10yr,Public (> 45 seats),Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Other,Not a Pedestrian,No priority to pedestrian,Slight Injury,0,Night
12060,1900-01-01 15:20:00,Saturday,Unknown,5-10yr,Automobile,Residential areas,other,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
12061,1900-01-01 15:20:00,Saturday,31-50,Above 10yr,Automobile,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,15,Afternoon
12062,1900-01-01 15:20:00,Saturday,31-50,5-10yr,Pick up upto 10Q,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury,15,Afternoon
12063,1900-01-01 16:30:00,Saturday,Under 18,Above 10yr,Public (12 seats),Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,16,Evening
12064,1900-01-01 16:30:00,Saturday,Under 18,Below 1yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,16,Evening
12065,1900-01-01 01:05:00,Friday,Under 18,5-10yr,Lorry (41?100Q), Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,1,Night
12066,1900-01-01 01:05:00,Friday,31-50,1-2yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,1,Night
12067,1900-01-01 19:40:00,Monday,Over 51,5-10yr,Public (13?45 seats),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to vehicle,Slight Injury,19,Evening
12068,1900-01-01 19:40:00,Monday,31-50,5-10yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,19,Evening
12069,1900-01-01 19:40:00,Monday,31-50,2-5yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,19,Evening
12070,1900-01-01 19:08:00,Tuesday,18-30,5-10yr,Motorcycle,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,19,Evening
12071,1900-01-01 19:08:00,Tuesday,18-30,5-10yr,Lorry (41?100Q), Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,19,Evening
12072,1900-01-01 17:50:00,Saturday,Over 51,Above 10yr,Ridden horse,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
12073,1900-01-01 17:50:00,Saturday,18-30,Above 10yr,Automobile,Other,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,Changing lane to the right,Serious Injury,17,Evening
12074,1900-01-01 21:30:00,Sunday,31-50,Below 1yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,21,Night
12075,1900-01-01 21:30:00,Sunday,31-50,5-10yr,Pick up upto 10Q, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,21,Night
12076,1900-01-01 14:49:00,Monday,Over 51,5-10yr,Public (> 45 seats),School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,14,Afternoon
12077,1900-01-01 14:49:00,Monday,Over 51,2-5yr,Stationwagen, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving to the left,Slight Injury,14,Afternoon
12078,1900-01-01 14:49:00,Monday,18-30,Above 10yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,14,Afternoon
12079,1900-01-01 17:40:00,Sunday,31-50,2-5yr,Public (12 seats),Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Turnover,Not a Pedestrian,No priority to pedestrian,Slight Injury,17,Evening
12080,1900-01-01 17:40:00,Sunday,Over 51,Above 10yr,Automobile, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Not a Pedestrian,Changing lane to the left,Slight Injury,17,Evening
12081,1900-01-01 21:55:00,Saturday,18-30,Below 1yr,Automobile,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,21,Night
12082,1900-01-01 21:55:00,Saturday,18-30,2-5yr,Automobile,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,21,Night
12083,1900-01-01 07:30:00,Tuesday,18-30,5-10yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,7,Morning
12084,1900-01-01 07:30:00,Tuesday,31-50,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,7,Morning
12085,1900-01-01 10:41:00,Wednesday,31-50,1-2yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,10,Morning
12086,1900-01-01 13:16:00,Wednesday,31-50,5-10yr,Public (12 seats),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,13,Afternoon
12087,1900-01-01 13:16:00,Wednesday,31-50,1-2yr,Taxi,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Getting off,Not a Pedestrian,Driving carelessly,Serious Injury,13,Afternoon
12088,1900-01-01 13:16:00,Wednesday,31-50,5-10yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury,13,Afternoon
12089,1900-01-01 11:30:00,Thursday,18-30,1-2yr,Public (12 seats),  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Turnover,Slight Injury,11,Morning
12090,1900-01-01 11:30:00,Thursday,18-30,5-10yr,Stationwagen,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11,Morning
12091,1900-01-01 19:31:00,Wednesday,18-30,2-5yr,Stationwagen, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19,Evening
12092,1900-01-01 19:31:00,Wednesday,18-30,2-5yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,19,Evening
12093,1900-01-01 09:25:00,Friday,31-50,5-10yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,9,Morning
12094,1900-01-01 09:25:00,Friday,18-30,Below 1yr,Automobile,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,9,Morning
12095,1900-01-01 14:10:00,Wednesday,18-30,Below 1yr,Public (12 seats), Industrial areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overturning,Serious Injury,14,Afternoon
12096,1900-01-01 14:10:00,Wednesday,Over 51,5-10yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,14,Afternoon
12097,1900-01-01 14:00:00,Friday,31-50,Below 1yr,Automobile,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,14,Afternoon
12098,1900-01-01 14:00:00,Friday,31-50,2-5yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,14,Afternoon
12099,1900-01-01 22:05:00,Tuesday,Unknown,2-5yr,Automobile,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,22,Night
12100,1900-01-01 22:05:00,Tuesday,Over 51,5-10yr,Motorcycle,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury,22,Night
12101,1900-01-01 07:00:00,Thursday,18-30,5-10yr,Automobile,Office areas,Undivided Two way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,7,Morning
12102,1900-01-01 07:00:00,Thursday,31-50,5-10yr,Automobile,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,7,Morning
12103,1900-01-01 07:35:00,Thursday,18-30,5-10yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,7,Morning
12104,1900-01-01 07:35:00,Thursday,31-50,5-10yr,Automobile,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,Serious Injury,7,Morning
12105,1900-01-01 08:43:00,Wednesday,31-50,2-5yr,Public (> 45 seats),Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,Serious Injury,8,Morning
12106,1900-01-01 08:43:00,Wednesday,31-50,5-10yr,Automobile,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Serious Injury,8,Morning
12107,1900-01-01 16:05:00,Tuesday,Over 51,Below 1yr,Automobile,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Not a Pedestrian,No distancing,Slight Injury,16,Evening
12108,1900-01-01 22:05:00,Friday,18-30,1-2yr,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Not a Pedestrian,No distancing,Slight Injury,22,Night
12109,1900-01-01 22:05:00,Friday,18-30,2-5yr,Other,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,5,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,22,Night
12110,1900-01-01 22:05:00,Friday,18-30,2-5yr,Stationwagen, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,22,Night
12111,1900-01-01 22:05:00,Friday,18-30,5-10yr,Lorry (41?100Q),Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,22,Night
12112,1900-01-01 03:40:00,Saturday,18-30,5-10yr,Taxi,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the right,Fatal injury,3,Night
12113,1900-01-01 09:25:00,Tuesday,Over 51,Above 10yr,Other,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,No distancing,Slight Injury,9,Morning
12114,1900-01-01 09:25:00,Tuesday,Unknown,2-5yr,Public (12 seats),  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,9,Morning
12115,1900-01-01 09:25:00,Tuesday,Unknown,5-10yr,Automobile,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,Slight Injury,9,Morning
12116,1900-01-01 09:25:00,Tuesday,Unknown,Below 1yr,Automobile, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Overtaking,Not a Pedestrian,Other,Slight Injury,9,Morning
12117,1900-01-01 09:25:00,Tuesday,Unknown,5-10yr,Public (13?45 seats),Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury,9,Morning
12118,1900-01-01 09:25:00,Tuesday,Unknown,Above 10yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,9,Morning
12119,1900-01-01 07:58:00,Thursday,Under 18,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,No priority to vehicle,Slight Injury,7,Morning
12120,1900-01-01 07:58:00,Thursday,18-30,1-2yr,Lorry (11?40Q),Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,Slight Injury,7,Morning
12121,1900-01-01 20:15:00,Tuesday,18-30,5-10yr,Motorcycle,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,20,Night
12122,1900-01-01 20:15:00,Tuesday,18-30,1-2yr,Lorry (41?100Q),Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Other,Not a Pedestrian,Overtaking,Serious Injury,20,Night
12123,1900-01-01 17:10:00,Tuesday,18-30,Above 10yr,Stationwagen,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Moving Backward,Not a Pedestrian,No distancing,Serious Injury,17,Evening
12124,1900-01-01 17:10:00,Tuesday,31-50,1-2yr,Automobile,Residential areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,17,Evening
12125,1900-01-01 17:10:00,Tuesday,31-50,5-10yr,Other,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17,Evening
